Corbières;1042
Crésuz;486
Echarlens;846
Grandvillard;903
Gruyères;2339
Hauteville;744
Jaun;657
Marsens;2130
Morlon;771
Le Pâquier (Fr);1386
Pont-La-Ville;606
Riaz;2932
La Roche;1959
Sâles;1467
Sorens;1103
Vaulruz;1130
Vuadens;2579
Bas-Intyamon;1726
Val-De-Charmey;2729
;
Autigny;840
Avry;1949
Belfaux;3452
Chénens;886
Corminboeuf;3029
Cottens (Fr);1529
Ferpicloz;248
Fribourg;39151
Givisiez;3457
Granges-Paccot;3983
Grolley;2113
Marly;9242
Matran;1906
Neyruz (Fr);2869
Pierrafortscha;150
Ponthaux;788
Le Mouret;3354
Treyvaux;1642
Villars-Sur-Glâne;12507
Villarsel-Sur-Marly;69
Hauterive (Fr);2694
La Brillaz;2208
La Sonnaz;1458
Gibloux;8393
Prez;2465
Bois-D'Amont;2422
;
Courgevaux;1458
Courtepin;5772
Cressier (Fr);1109
Fräschels;445
Greng;176
Gurmels;4675
Kerzers;5466
Kleinbösingen;705
Meyriez;569
Misery-Courtion;2404
Muntelier;982
Murten;9552
Ried Bei Kerzers;1237
Ulmiz;425
Mont-Vully;4561
;
Brünisried;724
Düdingen;9116
Giffers;1703
Bösingen;3360
Heitenried;1404
Plaffeien;3693
Plasselb;1088
Rechthalten;1165
St Silvester;1064
St Ursen;1419
Schmitten (Fr);4285
Tafers;8026
Tentlingen;1382
Ueberstorf;2433
Wünnewil-Flamatt;5814
;
Attalens;3693
Bossonnens;1593
Châtel-Saint-Denis;8786
Granges (Veveyse);977
Remaufens;1427
Saint-Martin (Fr);1043
Semsales;1568
Le Flon;1211
La Verrerie;1350
;
;
Egerkingen;4311
Härkingen;1781
Kestenholz;1884
Neuendorf;2396
Niederbuchsiten;1341
Oberbuchsiten;2406
Oensingen;6817
Wolfwil;2443
;
Aedermannsdorf;593
Balsthal;6560
Herbetswil;608
Holderbank (So);779
Laupersdorf;1880
Matzendorf;1409
Mümliswil-Ramiswil;2481
Welschenrohr-Gänsbrunnen;1209
;
Biezwil;345
Lüterkofen-Ichertswil;902
Messen;1498
Schnottwil;1176
Unterramsern;225
Lüsslingen-Nennigkofen;1144
Buchegg;2964
;
Bättwil;1192
Büren (So);1077
Dornach;6901
Gempen;934
Hochwald;1282
Hofstetten-Flüh;3402
Metzerlen-Mariastein;988
Nuglar-St Pantaleon;1553
Rodersdorf;1408
Seewen;1088
Witterswil;1500
;
Hauenstein-Ifenthal;341
Kienberg;526
Lostorf;4129
Niedergösgen;4255
Obergösgen;2490
Stüsslingen;1259
Trimbach;6854
Winznau;2053
Wisen (So);438
Erlinsbach (So);3736
;
Aeschi (So);1328
Biberist;9545
Bolken;577
Deitingen;2338
